.0A,COLLEGE NAME,WEBSITE,ADRESS
278,"Govt Womens Polytechnic College, Jabalpur",http://www.gwpcjabalpur.org/,
279,"Govt Zirtiri Residential Science College, Aizawl",http://www.gzrsc.edu.in/,
280,"Govt. Degree College, Drass",http://universityofladakh.org.in/dcdrass.php,
281,"Govt. Degree College, Khaltsi",http://universityofladakh.org.in/dckhaltsi.php,
282,"Govt. Degree College, Nubra",http://universityofladakh.org.in/dcnubra.php,
283,"Govt. Degree College, Zanskar",http://universityofladakh.org.in/dczanskar.php,
284,Gramothan Vidyapeeth Mahila College Alwar Rajasthan,https://gramotthancollege.com/,
285,"Graphic Era University, Dehradun",https://www.geu.ac.in/,
286,"Great Lakes Institute Of Management, Gurgaon",https://www.greatlakes.edu.in/gurgaon/,
287,Gudlavalleru College of Engineering & Technology,http://gecgudlavalleru.ac.in/,
288,Guntur Medical College,http://gunturmedicalcollege.edu.in/,
289,"Guru Nanak Dev Dental College And Research Institute, Sunam",https://www.gnddentalcollege.com/,
290,"Guru Teg Bahadur Khalsa Institute Of Engineering & Technology GTBKIET, Muktsar",https://gtb.org.in/,
291,"Gurukul Institute, Raipur",http://www.gurukulinstitute.org/,
292,"GVMs Dr Dada Vaidya College Of Education, Ponda",https://www.gvmcollege.com/,
293,"GVRS Institute for Professional Studies, Guntur",http://www.gvrseduinst.com/,
294,"Hakim Syed Ziaul Hasan Government Unani Medical College & Hospital, Bhopal",http://gumcbhopal.in/,
295,"Hartmann College, Bareilly",http://www.hartmanncollege.org.in/,
296,"Haryana College Of Education HCE, Jind",http://hcek.org.in/,
297,"Hawabagh Womens College, Jabalpur",https://hawabaghcollege.com/,
298,"Hayagriva Polytechnic College, Puducherry",http://hayagrivapolytechnic.com/,
299,"Hazaribag College Of Dental Science And Hospital HCDSH, Hazaribagh",https://hcdsh.edu.in/,
300,"Higher And Technical Institute Of Mizoram HATIM, Lunglei",https://hatim.ac.in/,
301,"Hill College, Tadubi",https://hillcollegetadubi.nic.in/,
302,"Hills College Of Teacher Education HCTE, Naharlagun",https://www.hcte.org/,
303,"Him Education Pvt ITI, Shoghi",https://himeducationitishoghi.com/,
